conv_idx, latency (ms)
0, 218.37
1, 14.14
2, 19.31
3, 52.54
4, 0.14
5, 14.75
6, 0.16
7, 0.12
8, 0.14
9, 1.39
10, 1.08
11, 5.71
12, 12.58
13, 312.24
14, 3.46
15, 3.64
16, 16.23
17, 0.12
18, 0.15
19, 0.16
20, 0.15
21, 0.15
22, 0.16
23, 0.12
24, 4.32
25, 10.08
26, 2.54
27, 3.33
28, 3.59
29, 13.73
30, 0.12
31, 0.15
32, 0.19
33, 0.13
34, 0.15
35, 0.16
36, 0.13
37, 0.15
38, 0.16
39, 0.12
40, 0.15
41, 0.16
42, 0.11
43, 3.96
44, 11.06
45, 2.94
46, 2.77
47, 3.71
48, 12.39
49, 0.20
50, 0.15
51, 0.16
52, 0.20
